Name                                    Stmts   Miss  Cover
-----------------------------------------------------------
scistudio_v10/__init__.py                  13      0   100%
scistudio_v10/animation_director.py        72     14    81%
scistudio_v10/asset_registry.py            25      0   100%
scistudio_v10/audio.py                    107     92    14%
scistudio_v10/batch.py                     15     15     0%
scistudio_v10/bfl_client.py               186     30    84%
scistudio_v10/cache_store.py               36      3    92%
scistudio_v10/candidate_tournament.py      73      1    99%
scistudio_v10/character_registry.py        24      1    96%
scistudio_v10/cli.py                       49      9    82%
scistudio_v10/config_models.py            210      7    97%
scistudio_v10/director.py                  95      9    91%
scistudio_v10/drawing_brief.py             25      3    88%
scistudio_v10/errors.py                    39      5    87%
scistudio_v10/flux_prompt_system.py       209     15    93%
scistudio_v10/flux_studio.py              130     33    75%
scistudio_v10/http_safety.py              148     30    80%
scistudio_v10/hybrid_package.py            59      3    95%
scistudio_v10/hybrid_render.py            155     41    74%
scistudio_v10/job_runtime.py              170     21    88%
scistudio_v10/llm.py                      407    191    53%
scistudio_v10/notebook_runner.py          358    105    71%
scistudio_v10/notebook_ui.py              606    292    52%
scistudio_v10/observability.py             33      9    73%
scistudio_v10/overlay.py                   57      1    98%
scistudio_v10/pipeline.py                 280     42    85%
scistudio_v10/preflight.py                147     48    67%
scistudio_v10/provenance.py                22      1    95%
scistudio_v10/provider_registry.py         35      2    94%
scistudio_v10/publisher.py                 41     23    44%
scistudio_v10/reference_director.py       101     46    54%
scistudio_v10/reference_selector.py        94      2    98%
scistudio_v10/research.py                 131     77    41%
scistudio_v10/scene_architect.py           71      5    93%
scistudio_v10/schemas.py                  705     33    95%
scistudio_v10/script_critic.py             97     97     0%
scistudio_v10/security.py                  40      0   100%
scistudio_v10/semantic.py                  61      8    87%
scistudio_v10/service_api.py               66      7    89%
scistudio_v10/shot_state.py                30      2    93%
scistudio_v10/sketch_control.py            24      0   100%
scistudio_v10/studio_director.py           73      8    89%
scistudio_v10/style_canon.py               11      0   100%
scistudio_v10/style_reference.py           92      9    90%
scistudio_v10/temporal_backends.py         92     11    88%
scistudio_v10/tests.py                    202      9    96%
scistudio_v10/tests_final.py              684     51    93%
scistudio_v10/tests_notebook.py           203     13    94%
scistudio_v10/tests_v10.py                187      4    98%
scistudio_v10/utils.py                    189     59    69%
-----------------------------------------------------------
TOTAL                                    6979   1487    79%
